CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Credit_Limit
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,12691
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,8256
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,3418
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,3313
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,4716
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,4010
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,34516
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,29081
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,22352
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,11656
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,6748
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,9095
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,11751
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,8547
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,2436
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,4234
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,30367
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,13535
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,3193
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,14470
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,20979
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,1438.3
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,4470
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,2492
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,12217
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,7768
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,14784
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,10215
718813833,Existing Customer,44,F,3,Uneducated,Single,Unknown,Blue,10100
806624208,Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,4785
778348233,Existing Customer,53,M,3,Unknown,Married,$80K - $120K,Blue,2753
712991808,Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,2451
709029408,Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,8923
788658483,Existing Customer,53,F,2,College,Married,Less than $40K,Blue,2650
787937058,Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,12555
715318008,Existing Customer,55,F,1,College,Single,Less than $40K,Blue,3520
713962233,Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,3035
785432733,Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,15433
715190283,Existing Customer,57,F,1,Graduate,Unknown,$40K - $60K,Blue,3672
708300483,Attrited Customer,66,F,0,Doctorate,Married,Unknown,Blue,7882
827111283,Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,32426
758551608,Existing Customer,51,M,2,Unknown,Married,$40K - $60K,Blue,6205
773146383,Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,17304
778493808,Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,3906
720572508,Existing Customer,38,F,4,Graduate,Single,Unknown,Blue,9830
712661433,Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,34516
789172683,Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,2283
738406533,Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,2548
799723908,Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,19458
771490833,Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,4745
720756708,Existing Customer,52,F,3,Unknown,Married,Less than $40K,Blue,2622
779471883,Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,1438.3
711525033,Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,3171
712813458,Existing Customer,49,M,2,Unknown,Married,$120K +,Blue,19763
714374133,Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,15769
717891558,Existing Customer,49,F,4,Graduate,Unknown,Less than $40K,Blue,3298
716632758,Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,2802
768563658,Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,4458
711427458,Existing Customer,44,F,5,Graduate,Married,Unknown,Blue,6273
714091983,Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,3336
787584108,Existing Customer,55,M,3,Unknown,Married,$80K - $120K,Blue,3436
712030833,Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,34516
711481533,Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,5926
710082708,Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,23957
708155733,Existing Customer,53,M,2,High School,Single,$120K +,Blue,14734
